id_municipio,poblacion
Esparragalejo,1506
Esparragosa de la Serena,912
Esparragosa de Lares,839
Feria,1054
Fregenal de la Sierra,4715
Fuenlabrada de los Montes,1693
Fuente de Cantos,4583
Fuente del Arco,648
Fuente del Maestre,6499
Fuentes de León,2118
Garbayuela,450
Garlitos,510
"Garrovilla, La",2310
Granja de Torrehermosa,1913
Guareña,6665
"Haba, La",1184
Helechosa de los Montes,556
Herrera del Duque,3385
Higuera de la Serena,881
Higuera de Llerena,343
Higuera de Vargas,1830
Higuera la Real,2186
Hinojosa del Valle,472
Hornachos,3375
Jerez de los Caballeros,9095
"Lapa, La",298
Lobón,2756
Llera,781
Llerena,5642
Magacela,502
Maguilla,919
Malcocinado,343
Malpartida de la Serena,508
Manchita,741
Medellín,2241
Medina de las Torres,1160
Mengabril,504
Mérida,60225
Mirandilla,1232
Monesterio,4245
Montemolín,1231
Monterrubio de la Serena,2157
Montijo,15198
"Morera, La",698
"Nava de Santiago, La",914
Navalvillar de Pela,4303
Nogales,632
Oliva de la Frontera,4907
Oliva de Mérida,1660
Olivenza,11789
Orellana de la Sierra,250
Orellana la Vieja,2580
Palomas,651
"Parra, La",1297
Peñalsordo,805
Peraleda del Zaucejo,465
Puebla de Alcocer,1091
Puebla de la Calzada,5815
Puebla de la Reina,689
Puebla del Maestre,653
Puebla del Prior,462
Puebla de Obando,1809
Puebla de Sancho Pérez,2634
Quintana de la Serena,4429
Reina,144
Rena,605
Retamal de Llerena,428
Ribera del Fresno,3130
Risco,126
"Roca de la Sierra, La",1454
Salvaleón,1645
Salvatierra de los Barros,1546
Sancti-Spíritus,141
San Pedro de Mérida,859
Santa Amalia,3881
Santa Marta,4201
"Santos de Maimona, Los",8088
San Vicente de Alcántara,5227
Segura de León,1758
Siruela,1766
Solana de los Barros,2522
Talarrubias,3251
Talavera la Real,5288
Táliga,650
Tamurejo,190
Torre de Miguel Sesmero,1234
Torremayor,992
Torremejía,2238
Trasierra,590
Trujillanos,1397
Usagre,1698
Valdecaballeros,1036
Valdetorres,1105
Valencia de las Torres,486
Valencia del Mombuey,703
Valencia del Ventoso,1870
Valverde de Burguillos,260
Valverde de Leganés,4230
Valverde de Llerena,560
Valverde de Mérida,1002
Valle de la Serena,1075
Valle de Matamoros,337
Valle de Santa Ana,1090
Villafranca de los Barros,12284
Villagarcía de la Torre,909
Villagonzalo,1226
Villalba de los Barros,1429
Villanueva de la Serena,25773
Villanueva del Fresno,3247
Villar del Rey,2064
Villar de Rena,1326
Villarta de los Montes,375
Zafra,16735
Zahínos,2766
Zalamea de la Serena,3371
Zarza-Capilla,295
"Zarza, La",3339
Valdelacalzada,2743
Pueblonuevo del Guadiana,1955
Guadiana,2444
Alaró,6121
Alaior,10217
Alcúdia,21907
Algaida,6357
Andratx,12195
Artà,8629
Banyalbufar,573
Binissalem,9350
Búger,1215
Bunyola,7642
Calvià,53793
Campanet,2859
Campos,12485
Capdepera,13135
Ciutadella de Menorca,32431
Consell,4521
Costitx,1591
Deià,741
Escorca,199
Esporles,5264
Estellencs,369
Felanitx,19146
Ferreries,5170
Formentera,11661
Fornalutx,743
Eivissa,55337
Inca,36262
Lloret de Vistalegre,1691
Lloseta,6463
Llubí,2589
Llucmajor,40502
Maó,30666
Manacor,49153
Mancor de la Vall,1692
Maria de la Salut,2461
Marratxí,40422
"Mercadal, Es",6459
Montuïri,3289
Muro,8398
Palma,434786
Petra,3231
Pollença,17807
Porreres,5892
"Pobla, Sa",14990
Puigpunyent,2049
Sant Antoni de Portmany,29132
Sencelles,3973
Sant Josep de sa Talaia,29761
Sant Joan,2336
Sant Joan de Labritja,7046
Sant Llorenç des Cardassar,9231
Sant Lluís,7312
Santa Eugènia,1902
Santa Eulària des Riu,42479
Santa Margalida,14056
Santa María del Camí,7744
Santanyí,13067
Selva,4326
"Salines, Ses",5248
Sineu,4537
Sóller,13882
Son Servera,12417
Valldemossa,2038
"Castell, Es",7774
Vilafranca de Bonany,3929
Ariany,1072
"Migjorn Gran, Es",1765
Abrera,13227
Aguilar de Segarra,292
Alella,10262
Alpens,267
"Ametlla del Vallès, L'",9474
Arenys de Mar,17042
Arenys de Munt,9558
Argençola,245
Argentona,12891
Artés,6225
Avià,2267
Avinyó,2322
Avinyonet del Penedès,1782
Aiguafreda,2569
Badalona,231542
Bagà,2161
Balenyà,4021
Balsareny,3380
Barcelona,1731649
Begues,7561
Bellprat,69
Berga,17473
Bigues i Riells del Fai,10139
Borredà,433
"Bruc, El",2290
"Brull, El",296
"Cabanyes, Les",1060
Cabrera d'Anoia,1772
Cabrera de Mar,5045
Cabrils,7765
Calaf,3644
Caldes d'Estrac,3356
Caldes de Montbui,18567
Calders,1122
Calella,20864
Calonge de Segarra,179
Calldetenes,2733
Callús,2180
Campins,586
Canet de Mar,15198
Canovelles,17473
Cànoves i Samalús,3399
Canyelles,5505
Capellades,5608
Capolat,93
Cardedeu,19046
Cardona,4553
Carme,847
Casserres,1660
Castellar del Riu,151
Castellar del Vallès,25422
Castellar de n'Hug,166
Castellbell i el Vilar,4159
Castellbisbal,13061
Castellcir,804
Castelldefels,70057
Castell de l'Areny,68
Castellet i la Gornal,2776
Castellfollit del Boix,467
Castellfollit de Riubregós,153
Castellgalí,2413
Castellnou de Bages,1473
Castellolí,669
Castellterçol,2754
Castellví de la Marca,1721
Castellví de Rosanes,2171
Centelles,7864
Cervelló,9743
Collbató,4828
Collsuspina,391
Copons,352
Corbera de Llobregat,16010
Cornellà de Llobregat,92237
Cubelles,17673
Dosrius,6287
Esparreguera,22665
Esplugues de Llobregat,48221
"Espunyola, L'",260
"Estany, L'",390
Fígols,40
Fogars de Montclús,494
Fogars de la Selva,1704
Folgueroles,2262
Fonollosa,1570
Font-rubí,1441
"Franqueses del Vallès, Les",20881
Gallifa,171
"Garriga, La",17426
Gavà,48243
Gaià,172
Gelida,8198
Gironella,5083
Gisclareny,28
"Granada, La",2287
Granera,84
Granollers,65341
Gualba,1766
Sant Salvador de Guardiola,3612
Guardiola de Berguedà,964
Gurb,2741
"Hospitalet de Llobregat, L'",289510
Igualada,42085
Jorba,850
"Llacuna, La",959
"Llagosta, La",13280
Llinars del Vallès,10956
Lliçà d'Amunt,16540
Lliçà de Vall,6903
Lluçà,281
Malgrat de Mar,19714
Malla,285
Manlleu,21425
Manresa,80974
Martorell,29175
Martorelles,4992
"Masies de Roda, Les",758
"Masies de Voltregà, Les",3345
"Masnou, El",24761
Masquefa,10120
Matadepera,9776
Mataró,131683
Mediona,2658
Molins de Rei,27300
Mollet del Vallès,52990
Montcada i Reixac,37460
Montgat,12879
Monistrol de Montserrat,3250
Monistrol de Calders,764
Muntanyola,697
Montclar,132
Montesquiu,1131
Montmajor,473
Montmaneu,181
Figaró-Montmany,1195
Montmeló,8886
Montornès del Vallès,17102
Montseny,388
Moià,6828
Mura,235
Navarcles,6276
Navàs,6238
"Nou de Berguedà, La",163
Òdena,3760
Olvan,924
Olèrdola,3945
Olesa de Bonesvalls,2135
Olesa de Montserrat,24966
Olivella,4435
Olost,1209
Orís,355
Oristà,555
Orpí,175
Òrrius,812
Pacs del Penedès,932
Palafolls,10038
Palau-solità i Plegamans,15614
Pallejà,12006
"Papiol, El",4404
Parets del Vallès,18885
Perafita,433
Piera,17880
"Hostalets de Pierola, Els",3258
Pineda de Mar,30108
"Pla del Penedès, El",1393
"Pobla de Claramunt, La",2350
"Pobla de Lillet, La",1105
Polinyà,8581
Pontons,516
"Prat de Llobregat, El",66338
"Prats de Rei, Els",554
Prats de Lluçanès,2761
Premià de Mar,29431
Puigdàlber,621
Puig-reig,4565
Pujalt,204
"Quar, La",41
Rajadell,597
Rellinars,926
Ripollet,39897
"Roca del Vallès, La",11014
"Pont de Vilomara i Rocafort, El",4193
Roda de Ter,6937
Rubí,82823
Rubió,225
Sabadell,225368
Sagàs,154
Sant Pere Sallavinera,177
Saldes,302
Sallent,7030
Santpedor,7744
Sant Iscle de Vallalta,1477
Sant Adrià de Besòs,39323
Sant Agustí de Lluçanès,106
Sant Andreu de la Barca,27094
Sant Andreu de Llavaneres,11938
Sant Antoni de Vilamajor,6724
Sant Bartomeu del Grau,933
Sant Boi de Llobregat,85610
Sant Boi de Lluçanès,602
Sant Celoni,18977
Sant Cebrià de Vallalta,3872
Sant Climent de Llobregat,4187
Sant Cugat del Vallès,97983
Sant Cugat Sesgarrigues,1038
Sant Esteve de Palautordera,3099
Sant Esteve Sesrovires,8121
Sant Fost de Campsentelles,9419
Sant Feliu de Codines,6827
Sant Feliu de Llobregat,46781
Sant Feliu Sasserra,633
Sant Fruitós de Bages,9333
Vilassar de Dalt,9404
Sant Hipòlit de Voltregà,3666
Sant Jaume de Frontanyà,25
Sant Joan Despí,35926
Sant Joan de Vilatorrada,11133
Vilassar de Mar,21227
Sant Julià de Vilatorta,3323
Sant Just Desvern,21037
Sant Llorenç d'Hortons,2627
Sant Llorenç Savall,2587
Sant Martí de Centelles,1263
Sant Martí d'Albars,135
Sant Martí de Tous,1269
Sant Martí Sarroca,3485
Sant Martí Sesgueioles,353
Sant Mateu de Bages,641
Premià de Dalt,10632
Sant Pere de Ribes,32705
Sant Pere de Riudebitlles,2516
Sant Pere de Torelló,2596
Sant Pere de Vilamajor,5074
Sant Pol de Mar,5793
Sant Quintí de Mediona,2580
Sant Quirze de Besora,2164
Sant Quirze del Vallès,20209
Sant Quirze Safaja,663
Sant Sadurní d'Anoia,12911
Sant Sadurní d'Osormort,89
Marganell,309
Santa Cecília de Voltregà,197
Santa Coloma de Cervelló,8273
Santa Coloma de Gramenet,123981
Santa Eugènia de Berga,2348
Santa Eulàlia de Riuprimer,1516
Santa Eulàlia de Ronçana,7953
Santa Fe del Penedès,365
Santa Margarida de Montbui,10631
Santa Margarida i els Monjos,7806
Barberà del Vallès,33987
Santa Maria de Besora,164
"Esquirol, L'",2301
Santa Maria de Merlès,179
Santa Maria de Martorelles,868
Santa Maria de Miralles,144
Santa Maria d'Oló,1099
Santa Maria de Palautordera,10080
Santa Perpètua de Mogoda,26130
Santa Susanna,4099
Sant Vicenç de Castellet,10164
Sant Vicenç dels Horts,28746
Sant Vicenç de Montalt,6802
Sant Vicenç de Torelló,2117
Cerdanyola del Vallès,58528
Sentmenat,9548
Cercs,1236
Seva,3808
Sitges,32609
Sobremunt,90
Sora,225
Subirats,3288
Súria,6200
Tavèrnoles,354
Tagamanent,328
Talamanca,209
Taradell,6854
Terrassa,233270
Tavertet,128
Teià,6898
Tiana,9331
Tona,8527
Tordera,19039
Torelló,15334
"Torre de Claramunt, La",4158
Torrelavit,1572
Torrelles de Foix,2746
Torrelles de Llobregat,6170
Ullastrell,2171
Vacarisses,7729
Vallbona d'Anoia,1424
Vallcebre,260
Vallgorguina,3261
Vallirana,16245
Vallromanes,2778
Veciana,168
Vic,50796
Vilada,432
Viladecavalls,7817
Viladecans,67587
Vilanova del Camí,12936
Vilanova de Sau,325
Vilobí del Penedès,1154
Vilafranca del Penedès,42607
Vilalba Sasserra,794
Vilanova i la Geltrú,71641
Viver i Serrateix,178
Rupit i Pruit,280
Vilanova del Vallès,5693
Sant Julià de Cerdanyola,234
Badia del Vallès,13060
"Palma de Cervelló, La",3056
Abajas,28
Adrada de Haza,200
Aguas Cándidas,61
Aguilar de Bureba,46
Albillos,220
Alcocero de Mola,40
Alfoz de Bricia,68
Alfoz de Santa Gadea,102
Altable,44
"Altos, Los",177
Ameyugo,107
Anguix,166
Aranda de Duero,33956
Arandilla,157
Arauzo de Miel,260
Arauzo de Salce,44
Arauzo de Torre,55
Arcos,1823
Arenillas de Riopisuerga,156
Arija,115
Arlanzón,425
Arraya de Oca,49
Atapuerca,178
"Ausines, Los",143
Avellanosa de Muñó,95
Bahabón de Esgueva,80
"Balbases, Los",298
Baños de Valdearados,322
Bañuelos de Bureba,32
Barbadillo de Herreros,103
Barbadillo del Mercado,134
Barbadillo del Pez,64
Barrio de Muñó,32
"Barrios de Bureba, Los",179
Barrios de Colina,55
Basconcillos del Tozo,276
Bascuñana,20
Belbimbre,53
Belorado,1823
Berberana,52
Berlangas de Roa,204
Berzosa de Bureba,26
Bozoó,101
Brazacorta,43
Briviesca,6728
Bugedo,193
Buniel,632
Burgos,177402
Busto de Bureba,140
Cabañes de Esgueva,145
Cabezón de la Sierra,33
Cavia,246
Caleruega,385
Campillo de Aranda,175
Campolara,46
Canicosa de la Sierra,410
Cantabrana,22
Carazo,42
Carcedo de Bureba,36
Carcedo de Burgos,513
Cardeñadijo,1445
Cardeñajimeno,1185
Cardeñuela Riopico,106
Carrias,26
Cascajares de Bureba,25
Cascajares de la Sierra,25
Castellanos de Castro,48
Castildelgado,34
Castil de Peones,26
Castrillo de la Reina,159
Castrillo de la Vega,626
Castrillo del Val,858
Castrillo de Riopisuerga,56
Castrillo Mota de Judíos,48
Castrojeriz,794
Cayuela,186
Cebrecos,60
Celada del Camino,91
Cerezo de Río Tirón,467
Cerratón de Juarros,42
Ciadoncha,77
Cillaperlata,31
Cilleruelo de Abajo,209
Cilleruelo de Arriba,52
Ciruelos de Cervera,90
Cogollos,687
Condado de Treviño,1468
Contreras,81
Coruña del Conde,95
Covarrubias,501
Cubillo del Campo,103
Cubo de Bureba,102
"Cueva de Roa, La",89
Cuevas de San Clemente,52
Encío,37
Espinosa de Cervera,81
Espinosa del Camino,43
Espinosa de los Monteros,1627
Estépar,646
Fontioso,52
Frandovínez,95
Fresneda de la Sierra Tirón,98
Fresneña,68
Fresnillo de las Dueñas,703
Fresno de Río Tirón,156
Fresno de Rodilla,49
Frías,258
Fuentebureba,58
Fuentecén,246
Fuentelcésped,290
Fuentelisendo,96
Fuentemolinos,89
Fuentenebro,137
Fuentespina,833
Galbarros,28
"Gallega, La",34
Grijalba,114
Grisaleña,58
Gumiel de Izán,587
Gumiel de Mercado,376
Hacinas,145
Haza,33
Hontanas,69
